title,subtitle,release_date,length,keysig,tempo,label,remix,collaboration,link,art
Technology,,2014-4-19,286,A / F#m,175,Independent,false,false,https://soundcloud.com/similar-outskirts/similar-outskirts-technology,https://i1.sndcdn.com/artworks-000201064877-ma7nd4-t200x200.jpg
Feel The Buzz,Similar Outskirts Remix,2014-7-19,252,E / C#m,"105, 175",Independent,true,false,https://soundcloud.com/similar-outskirts/sub-sound-feel-the-buzz,https://i1.sndcdn.com/artworks-000201108064-pbjh4c-t200x200.jpg
Cyborg Meltdown,,2014-7-21,259,D / Bm,110,Independent,false,false,https://soundcloud.com/similar-outskirts/similar-outskirts-cyborg,https://i1.sndcdn.com/artworks-000201108179-trs4dq-t200x200.jpg
Boom!,,2014-7-29,217,C / Am,130,Independent,false,false,https://soundcloud.com/similar-outskirts/similar-outskirts-boom-the,https://i1.sndcdn.com/artworks-000201108332-a1a4c1-t200x200.jpg
Snowball Fight,,2014-8-18,232,G / Em,175,Independent,false,false,https://soundcloud.com/similar-outskirts/similar-outskirts-snowball-fight,https://i1.sndcdn.com/artworks-000201108469-ewix52-t200x200.jpg
Jubilant Skydive,,2014-9-15,264,"F / Dm, G / Em",170,Independent,false,false,https://soundcloud.com/similar-outskirts/similar-outskirts-jubilant,https://i1.sndcdn.com/artworks-000201108577-7ke5xc-t200x200.jpg
Interstellar,Similar Outskirts Remix,2014-11-2,206,G / Em,170,Independent,true,false,https://soundcloud.com/similar-outskirts/laszlo-interstellar-similar,https://i1.sndcdn.com/artworks-000201108680-1972jr-t200x200.jpg
Radiation,,2014-11-21,248,C / Am,174,Independent,false,false,https://soundcloud.com/similar-outskirts/similar-outskirts-radiation,https://i1.sndcdn.com/artworks-000201108735-zomr6p-t200x200.jpg
When You Sleep,Similar Outskirts Remix,2014-12-23,211,A / F#m,150,Independent,true,false,https://soundcloud.com/similar-outskirts/vau-boy-when-you-sleep-2014-ft,https://i1.sndcdn.com/artworks-000201108789-sbmywn-t200x200.jpg
I'm Here,Similar Outskirts Remix,2015-6-12,208,B / G#m,170,Independent,true,false,https://soundcloud.com/similar-outskirts/im-here-remix,https://i1.sndcdn.com/artworks-000201108920-ha9ybf-t200x200.jpg
The Time Traveller,Similar Outskirts Remix,2015-12-12,235,A / F#m,"140, 175",Independent,true,false,https://soundcloud.com/similar-outskirts/getsix-the-time-traveller-similar-outskirts-remix,https://i1.sndcdn.com/artworks-000201109218-vmy3sr-t200x200.jpg
Epiphany,,2015-12-31,221,A / F#m,128,Independent,false,false,https://soundcloud.com/similar-outskirts/epiphany,https://i1.sndcdn.com/artworks-000201109282-2dk1fu-t200x200.jpg
Senses Overload,Similar Outskirts Remix,2016-1-23,259,F# / D#m,174,Independent,true,false,https://soundcloud.com/similar-outskirts/senses-overload-remix,https://i1.sndcdn.com/artworks-000201109366-dwo6l9-t200x200.jpg
Blast Off,,2016-2-13,214,C / Am,170,Independent,false,false,https://soundcloud.com/similar-outskirts/blast-off,https://i1.sndcdn.com/artworks-000201109403-15wjb7-t200x200.jpg
Choreography,,2016-5-7,273,D / Bm,145,Independent,false,false,https://soundcloud.com/dreamscape_records/similar-outskirts-choreography-1,https://i1.sndcdn.com/artworks-r9HgdKj4YNjUuUwy-GZUvFQ-t200x200.jpg
Whiplash,,2016-5-7,229,B / G#m,150,Independent,false,false,https://soundcloud.com/dreamscape_records/similar-outskirts-whiplash-1,https://i1.sndcdn.com/artworks-r9HgdKj4YNjUuUwy-GZUvFQ-t200x200.jpg
Awake and Unafraid,,2016-5-7,227,A / F#m,128,Independent,false,false,https://soundcloud.com/dreamscape_records/similar-outskirts-awake-and-unafraid,https://i1.sndcdn.com/artworks-r9HgdKj4YNjUuUwy-GZUvFQ-t200x200.jpg
Roller Coaster,,2016-5-7,262,A / F#m,170,Independent,false,false,https://soundcloud.com/dreamscape_records/similar-outskirts-roller-coaster,https://i1.sndcdn.com/artworks-r9HgdKj4YNjUuUwy-GZUvFQ-t200x200.jpg
