title,subtitle,release_date,length,keysig,tempo,label,remix,collaboration,link,art
Technology,,2014-4-19,286,A / F#m,175,Independent,false,false,https://soundcloud.com/similar-outskirts/similar-outskirts-technology,https://f4.bcbits.com/img/a2602584825_10.jpg
Feel The Buzz,Similar Outskirts Remix,2014-7-19,252,E / C#m,"105, 175",Independent,true,false,https://soundcloud.com/similar-outskirts/sub-sound-feel-the-buzz,https://i1.sndcdn.com/artworks-000201108064-pbjh4c-original.jpg
Cyborg Meltdown,,2014-7-21,259,D / Bm,110,Independent,false,false,https://soundcloud.com/similar-outskirts/similar-outskirts-cyborg,https://f4.bcbits.com/img/a1515047272_10.jpg
Boom!,,2014-7-29,217,C / Am,130,Independent,false,false,https://soundcloud.com/similar-outskirts/similar-outskirts-boom-the,https://f4.bcbits.com/img/a2416192760_10.jpg
Snowball Fight,,2014-8-18,232,G / Em,175,Independent,false,false,https://soundcloud.com/similar-outskirts/similar-outskirts-snowball-fight,https://f4.bcbits.com/img/a3465120814_10.jpg
Jubilant Skydive,,2014-9-15,264,"F / Dm, G / Em",170,Independent,false,false,https://soundcloud.com/similar-outskirts/similar-outskirts-jubilant,https://f4.bcbits.com/img/a2758000269_10.jpg
Interstellar,Similar Outskirts Remix,2014-11-2,206,G / Em,170,Independent,true,false,https://soundcloud.com/similar-outskirts/laszlo-interstellar-similar,https://i1.sndcdn.com/artworks-000201108680-1972jr-original.jpg
Radiation,,2014-11-21,248,C / Am,174,Independent,false,false,https://soundcloud.com/similar-outskirts/similar-outskirts-radiation,https://f4.bcbits.com/img/a4080141869_10.jpg
When You Sleep,Similar Outskirts Remix,2014-12-23,211,A / F#m,150,Independent,true,false,https://soundcloud.com/similar-outskirts/vau-boy-when-you-sleep-2014-ft,https://i1.sndcdn.com/artworks-000201108789-sbmywn-original.jpg
I'm Here,Similar Outskirts Remix,2015-6-12,208,B / G#m,170,Independent,true,false,https://soundcloud.com/similar-outskirts/im-here-remix,https://i1.sndcdn.com/artworks-000201108920-ha9ybf-original.jpg
The Time Traveller,Similar Outskirts Remix,2015-12-12,235,A / F#m,"140, 175",Independent,true,false,https://soundcloud.com/similar-outskirts/getsix-the-time-traveller-similar-outskirts-remix,https://i1.sndcdn.com/artworks-000201109218-vmy3sr-original.jpg
Epiphany,,2015-12-31,221,A / F#m,128,Independent,false,false,https://soundcloud.com/similar-outskirts/epiphany,https://f4.bcbits.com/img/a4246737652_10.jpg
Senses Overload,Similar Outskirts Remix,2016-1-23,259,F# / D#m,174,Independent,true,false,https://soundcloud.com/similar-outskirts/senses-overload-remix,https://i1.sndcdn.com/artworks-000201109366-dwo6l9-original.jpg
Blast Off,,2016-2-13,214,C / Am,170,Independent,false,false,https://soundcloud.com/similar-outskirts/blast-off,https://f4.bcbits.com/img/a0732027681_10.jpg
Choreography,,2016-5-7,273,D / Bm,145,Independent,false,false,https://soundcloud.com/dreamscape_records/similar-outskirts-choreography-1,https://f4.bcbits.com/img/a2071563971_10.jpg
Whiplash,,2016-5-7,229,B / G#m,150,Independent,false,false,https://soundcloud.com/dreamscape_records/similar-outskirts-whiplash-1,https://f4.bcbits.com/img/a2071563971_10.jpg
Awake and Unafraid,,2016-5-7,227,A / F#m,128,Independent,false,false,https://soundcloud.com/dreamscape_records/similar-outskirts-awake-and-unafraid,https://f4.bcbits.com/img/a2071563971_10.jpg
Roller Coaster,,2016-5-7,262,A / F#m,170,Independent,false,false,https://soundcloud.com/dreamscape_records/similar-outskirts-roller-coaster,https://f4.bcbits.com/img/a2071563971_10.jpg
Apollo,Similar Outskirts Remix,2016-6-4,245,A# / Gm,145,Independent,true,false,https://soundcloud.com/similar-outskirts/apollo-remix,https://i1.sndcdn.com/artworks-000201109476-uls3g6-original.jpg
Alone,Similar Outskirts Remix,2016-6-30,242,D / Bm,105,Independent,true,false,https://soundcloud.com/similar-outskirts/alone-remix,https://i1.sndcdn.com/artworks-000201109531-mtar1e-original.jpg
Thunderbolt,,2016-10-8,278,A# / Gm,155,Independent,false,false,https://soundcloud.com/similar-outskirts/thunderbolt,https://f4.bcbits.com/img/a4155316201_10.jpg
Cyber Talk,,2016-10-24,258,B / G#m,128,Independent,false,false,https://soundcloud.com/dreamscape_records/similar-outskirts-cyber-talk,https://f4.bcbits.com/img/a0384878721_10.jpg
Party,Similar Outskirts Remix,2016-12-4,257,A# / Gm,128,Independent,true,false,https://soundcloud.com/similar-outskirts/party-remix,https://i1.sndcdn.com/artworks-000201109805-heszyu-original.jpg
Stay Classy,w/ Redshift,2016-12-21,251,D / Bm,100,Independent,false,true,https://soundcloud.com/dreamscape_records/redshift-similar-outskirts-stay-classy,https://i1.sndcdn.com/artworks-000199509544-gocf3d-original.jpg
Aishiteru Banzai!,Similar Outskirts Remix,2017-1-10,262,E / C#m,100,Independent,true,false,https://soundcloud.com/similar-outskirts-extra/aishiteru-banzai-remix,https://i1.sndcdn.com/artworks-000202192302-2jtlvg-original.jpg
Nanamori,Similar Outskirts Remix,2017-2-5,217,A# / Gm,160,Independent,true,false,https://soundcloud.com/similar-outskirts/nanamori-remix,https://i1.sndcdn.com/artworks-000206361585-o76n59-original.jpg
Starchaser,Similar Outskirts Remix,2017-2-15,350,D# / Cm,150,Independent,true,false,https://soundcloud.com/dreamscape_records/starchaser-similar-outskirts-remix,https://i1.sndcdn.com/artworks-000207914906-wpe4v0-original.jpg
Burnout,,2017-3-7,293,G# / Fm,174,Umbra Collective,false,false,https://soundcloud.com/umbracollective/similar-outskirts-burnout,https://i1.sndcdn.com/artworks-000211074842-oekjck-original.jpg
